id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
26555,VIDP,large_airport,"Indira Gandhi International Airport",28.55563,77.09519,777,AS,India,IN,"Delhi (National Capital Territory)",IN-DL,DL,"New Delhi",1,VIDP,VIDP,DEL,,http://www.newdelhiairport.in/,https://en.wikipedia.org/wiki/Indira_Gandhi_International_Airport,"Palam Air Force Station",51475,2022-02-11T17:31:57+00:00
26434,VABB,large_airport,"Chhatrapati Shivaji Maharaj International Airport",19.088699,72.867897,39,AS,India,IN,Maharashtra,IN-MM,MM,Mumbai,1,VABB,VABB,BOM,,http://www.csia.in/,https://en.wikipedia.org/wiki/Chhatrapati_Shivaji_International_Airport,"Bombay, Sahar International Airport",1014475,2026-01-12T21:21:50+00:00
26618,VOMM,large_airport,"Chennai International Airport",12.990005,80.169296,52,AS,India,IN,"Tamil Nadu",IN-TN,TN,Chennai,1,VOMM,VOMM,MAA,,,https://en.wikipedia.org/wiki/Chennai_International_Airport,Madras,51150,2022-09-09T12:28:58+00:00
35145,VOBL,large_airport,"Kempegowda International Airport Bengaluru",13.1979,77.706299,3000,AS,India,IN,Karnataka,IN-KA,KA,Bengaluru,1,VOBL,VOBL,BLR,,http://www.bengaluruairport.com/home/home.jspx,https://en.wikipedia.org/wiki/Kempegowda_International_Airport,Bangalore,51200,2026-02-02T09:07:14+00:00
35141,VOHS,large_airport,"Rajiv Gandhi International Airport",17.231318,78.429855,2024,AS,India,IN,Telangana,IN-TG,TG,Hyderabad,1,VOHS,VOHS,HYD,,http://www.hyderabad.aero/,https://en.wikipedia.org/wiki/Rajiv_Gandhi_International_Airport,"Shamshabad, Hyderabad",1200,2022-09-09T12:25:05+00:00
26496,VECC,large_airport,"Netaji Subhash Chandra Bose International Airport",22.654012,88.44765,16,AS,India,IN,"West Bengal",IN-WB,WB,Kolkata,1,VECC,VECC,CCU,,https://www.nscbiairport.com/,https://en.wikipedia.org/wiki/Netaji_Subhash_Chandra_Bose_International_Airport,"Calcutta, Kolkatta, Dum Dum Air Force Station",1200,2026-01-22T15:55:47+00:00
26444,VOGO,large_airport,"Goa Dabolim International Airport",15.380062,73.833328,150,AS,India,IN,Goa,IN-GA,GA,"Vasco da Gama",1,VOGO,VOGO,GOI,,,https://en.wikipedia.org/wiki/Dabolim_Airport,"Goa Airport, Dabolim Navy Airbase, दाबोळी विमानतळ",1000,2026-01-10T20:03:46+00:00
26609,VOCI,large_airport,"Cochin International Airport",10.151047,76.400838,30,AS,India,IN,Kerala,IN-KL,KL,Kochi,1,VOCI,VOCI,COK,,http://www.cial.aero/,https://en.wikipedia.org/wiki/Cochin_International_Airport,Cochin,1000,2025-03-21T06:26:04+00:00
26431,VAAH,large_airport,"Sardar Vallabh Patel International Airport",23.0772,72.634697,189,AS,India,IN,Gujarat,IN-GJ,GJ,Ahmedabad,1,VAAH,VAAH,AMD,,https://www.adani.com/svpia-ahmedabad-airport,https://en.wikipedia.org/wiki/Sardar_Vallabhbhai_Patel_International_Airport,"Gandhinagar Air Force Station",1000,2026-01-10T20:11:05+00:00
26629,VOTV,large_airport,"Thiruvananthapuram International Airport",8.481889,76.920029,15,AS,India,IN,Kerala,IN-KL,KL,Thiruvananthapuram,1,VOTV,VOTV,TRV,,https://www.adani.com/thiruvananthapuram-airport,https://en.wikipedia.org/wiki/Trivandrum_International_Airport,"Thiruvananthapuram International Airport, Trivandrum Air Force Station",1050,2026-01-16T18:21:01+00:00
